Content,GroundTruth,Output_Enhanced
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
"synchronized to LOCAL(0), stratum 10","synchronized to <*>, stratum <*>","synchronized to LOCAL(<*>), stratum <*>"
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563349 when last update time is 1131563349 (minimum one second step),RRD_update (/var/lib/ganglia/rrds/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*>
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*>
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (/projects/tbird/temps/get_temps a),(root) CMD (/projects/tbird/temps/get_temps <*>),(<*>) CMD (<*> <*>)
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (/projects/tbird/temps/get_temps b),(root) CMD (/projects/tbird/temps/get_temps <*>),(<*>) CMD (<*> <*>)
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (/projects/tbird/temps/get_temps c),(root) CMD (/projects/tbird/temps/get_temps <*>),(<*>) CMD (<*> <*>)
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (/projects/tbird/temps/get_temps d),(root) CMD (/projects/tbird/temps/get_temps <*>),(<*>) CMD (<*> <*>)
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (/projects/tbird/temps/get_temps e),(root) CMD (/projects/tbird/temps/get_temps <*>),(<*>) CMD (<*> <*>)
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563412 when last update time is 1131563412 (minimum one second step),RRD_update (/var/lib/ganglia/rrds/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*>
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*>
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
CentOS-4 (Kernel Module GPG key),CentOS-<*> (Kernel Module GPG key),CentOS-<*> (<*>)
(supports S0 S4 S5),(supports <*>),(supports <*> <*> <*>)
DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,DSDT (v001 <*> <*> <*> <*> <*>) @ <*>
FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,FADT (<*> <*> <*> <*> <*> <*>) @ <*>
HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,HPET (<*> <*> <*> <*> <*> <*>) @ <*>
INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*>)
IRQ0 used by override.,IRQ<*> used by override.,<*> used by override.
IRQ2 used by override.,IRQ<*> used by override.,<*> used by <*>.
IRQ9 used by override.,IRQ<*> used by override.,<*> used by override.
MADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd724,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,MADT (<*> <*> <*> <*> <*> <*>) @ <*>
MCFG (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd854,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,MCFG (<*> <*> <*> <*> <*> <*>) @ <*>
PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,PCI Interrupt Link [LNKA] (IRQs <*>) <*>
PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12),PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> *<*> <*>),PCI Interrupt Link [LNKB] (IRQs <*> <*> <*> <*> <*> <*> <*> )
PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 11 12) *15,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,PCI Interrupt Link [LNKC] (IRQs <*>) <*>
"PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","PCI Interrupt Link [LNKD] (IRQs <*>) <*>, disabled."
"PCI Interrupt Link [LNKE] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","PCI Interrupt Link [LNKE] (IRQs <*>) <*>, disabled."
"PCI Interrupt Link [LNKF] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","PCI Interrupt Link [LNKF] (IRQs <*>) <*>, <*>."
"PCI Interrupt Link [LNKG] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","PCI Interrupt Link [LNKG] (IRQs <*>) <*>, <*>."
"PCI Interrupt Link [LNKH] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.","PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.","PCI Interrupt Link [LNKH] (IRQs <*>) <*>, disabled."
PCI Root Bridge [PCI0] (00:00),PCI Root Bridge [PCI0] (<*>:<*>),PCI <*> Bridge [<*>] (<*>)
"PCI interrupt 0000:00:02.0[A] -> GSI 16 (level, low) -> IRQ 169","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:00:04.0[A] -> GSI 16 (level, low) -> IRQ 169","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:00:05.0[A] -> GSI 16 (level, low) -> IRQ 169","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:00:06.0[A] -> GSI 16 (level, low) -> IRQ 169","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:02:0e.0[A] -> GSI 46 (level, low) -> IRQ 177","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:02:0e.0[A] -> GSI 46 (level, low) -> IRQ 177","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:06:07.0[A] -> GSI 64 (level, low) -> IRQ 185","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:06:07.0[A] -> GSI 64 (level, low) -> IRQ 185","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:07:08.0[A] -> GSI 65 (level, low) -> IRQ 193","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
"PCI interrupt 0000:07:08.0[A] -> GSI 65 (level, low) -> IRQ 193","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
